4559,1_Collection Mode
4560,1_Collection Mode
4561,1_Collection Mode
4736,0_Third Party Entity
4737,0_Third Party Entity
4749,1_Does/Does Not
4771,4_Personal Information Type
6035,2_Action First-Party
6036,2_Action First-Party
6037,2_Action First-Party
6038,2_Action First-Party
6039,2_Action First-Party
4810,4_Personal Information Type
5963,4_Personal Information Type
6721,5_Purpose
6781,2_Action Third Party
5125,3_Identifiability
5129,3_Identifiability
5130,3_Identifiability
5131,3_Identifiability
5132,4_Personal Information Type
5133,3_Identifiability
5136,4_Personal Information Type
5137,4_Personal Information Type
6929,3_Identifiability
6930,3_Identifiability
5227,3_Identifiability
5228,3_Identifiability
5229,3_Identifiability
5230,3_Identifiability
5231,3_Identifiability
5232,3_Identifiability
5259,3_Identifiability
5260,3_Identifiability
5261,3_Identifiability
7176,4_Personal Information Type
5504,2_Action Third Party
7263,2_Action Third Party
7266,2_Action Third Party
6533,4_Personal Information Type
7331,4_Personal Information Type
7332,4_Personal Information Type
7333,4_Personal Information Type
7334,4_Personal Information Type
6610,3_Identifiability
5756,4_Personal Information Type
5757,4_Personal Information Type
5758,4_Personal Information Type
5759,4_Personal Information Type
5762,4_Personal Information Type
5763,4_Personal Information Type
5764,4_Personal Information Type
5765,4_Personal Information Type
5766,4_Personal Information Type
5767,4_Personal Information Type
5768,4_Personal Information Type
5777,3_Identifiability
5778,3_Identifiability
22,4_Personal Information Type
41,4_Personal Information Type
427,3_Identifiability
134,4_Personal Information Type
135,4_Personal Information Type
136,2_Action Third Party
875,4_Personal Information Type
442,0_Third Party Entity
443,0_Third Party Entity
518,4_Personal Information Type
532,0_Does/Does Not
532,4_Personal Information Type
200,0_Does/Does Not
1142,4_Personal Information Type
263,2_Personal Information Type
1325,0_Third Party Entity
1326,0_Third Party Entity
674,4_Personal Information Type
675,4_Personal Information Type
769,6_User Type
775,3_Identifiability
776,3_Identifiability
777,3_Identifiability
777,4_Personal Information Type
784,3_Identifiability
785,3_Identifiability
791,3_Identifiability
1898,3_Identifiability
1898,4_Personal Information Type
506,2_Action First-Party
507,2_Action First-Party
921,2_Action First-Party
1913,2_Action First-Party
974,2_Action First-Party
975,2_Action First-Party
976,2_Action First-Party
977,2_Action First-Party
1300,0_Does/Does Not
1301,0_Does/Does Not
1077,0_Third Party Entity
1104,4_Personal Information Type
1107,0_Third Party Entity
1108,0_Third Party Entity
2157,3_Identifiability
2157,4_Personal Information Type
1119,4_Personal Information Type
1121,4_Personal Information Type
1126,4_Personal Information Type
2243,2_Personal Information Type
2263,2_Personal Information Type
1440,4_Personal Information Type
1443,1_Implicit/Explicit
1445,1_Implicit/Explicit
1446,1_Implicit/Explicit
1447,1_Implicit/Explicit
1450,1_Implicit/Explicit
1897,0_Third Party Entity
1900,4_Personal Information Type
1910,2_Action First-Party
1911,2_Action First-Party
1912,2_Action First-Party
2605,3_Identifiability
2606,3_Identifiability
2607,3_Identifiability
2608,3_Identifiability
2609,3_Identifiability
2610,3_Identifiability
2034,2_Action Third Party
2670,1_Does/Does Not
2670,2_Action Third Party
1662,1_Does/Does Not
1699,0_Does/Does Not
1704,3_Identifiability
1705,3_Identifiability
2107,3_Identifiability
1710,3_Identifiability
2126,3_Identifiability
2127,3_Identifiability
2152,4_Personal Information Type
1964,0_Third Party Entity
1994,0_Third Party Entity
1994,4_Personal Information Type
1995,4_Personal Information Type
2233,0_Third Party Entity
3271,0_Does/Does Not
3272,0_Does/Does Not
2173,0_Does/Does Not
2173,1_Implicit/Explicit
2174,0_Does/Does Not
2175,0_Does/Does Not
2175,1_Implicit/Explicit
2182,0_Does/Does Not
2183,0_Does/Does Not
2337,3_Identifiability
2338,3_Identifiability
2339,3_Identifiability
3290,4_Personal Information Type
3291,4_Personal Information Type
3302,4_Personal Information Type
2412,2_Action First-Party
2413,2_Action First-Party
3349,3_Identifiability
3469,8_Choice Scope
2504,0_Does/Does Not
2520,1_Implicit/Explicit
2521,1_Implicit/Explicit
2522,1_Implicit/Explicit
2524,1_Implicit/Explicit
2526,1_Implicit/Explicit
3504,1_Does/Does Not
3504,2_Action Third Party
3505,1_Does/Does Not
3505,2_Action Third Party
3518,1_Implicit/Explicit
2633,0_Does/Does Not
2634,0_Does/Does Not
2635,0_Does/Does Not
2683,1_Does/Does Not
2683,2_Action Third Party
2684,1_Does/Does Not
2684,2_Action Third Party
2686,2_Action Third Party
2687,2_Action Third Party
2688,2_Action Third Party
2858,1_Does/Does Not
2859,1_Does/Does Not
2860,1_Does/Does Not
2893,4_Personal Information Type
3780,0_Third Party Entity
3041,0_Does/Does Not
3042,0_Does/Does Not
3170,4_Personal Information Type
3181,3_Identifiability
3182,3_Identifiability
3220,4_Personal Information Type
3872,5_Purpose
9635,4_Personal Information Type
8390,1_Does/Does Not
8391,1_Does/Does Not
9898,1_Collection Mode
8446,2_Personal Information Type
8455,0_Third Party Entity
8471,0_Does/Does Not
8472,0_Does/Does Not
10249,3_Identifiability
10249,4_Personal Information Type
10250,3_Identifiability
10271,6_User Type
