4435,0,96,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
7477,0,103,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
13991,0,123,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
13992,0,123,The site collects your unspecified information for an unspecified purpose. Collection happens on the website.
4436,1,96,"The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can choose not to use the service or feature for the collection of your information."
4437,1,96,"The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can choose not to use the service or feature for the collection of your information."
4438,1,96,"The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can choose not to use the service or feature for the collection of your information."
4439,1,96,The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.
7478,1,103,"The site collects your IP address or device IDs for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized."
7479,1,103,"The site collects your computer information for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized."
7480,1,103,The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens when you explicitly provide information on the website.
13993,1,123,"The site collects your IP address or device IDs for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized."
13994,1,123,"The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized."
13995,1,123,"The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized."
13996,1,123,The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information on the website.
4440,2,96,"The site collects your unspecified information for analytics or research. Collection happens in an unspecified way, and your data's identifiability is not covered by our label scheme."
7481,2,103,"The site collects an information type outside of our label scheme for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized."
13997,2,123,"The site collects your website activities for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized."
13998,2,123,"The site collects your IP address or device IDs for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized."
13999,2,123,"The site collects your computer information for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized."
4441,3,96,An unnamed third party does not do something outside of our label scheme with unspecified information about you for marketing purposes. The data is personally identifiable.
4442,3,96,An unnamed third party does receive unspecified information about you for a basic service or feature.
4443,3,96,An unspecified third party does receive your contact information for marketing purposes. The data is personally identifiable.
4444,3,96,A named third party does receive unspecified information about you for legal requirements.
7482,3,103,"The site does not collect your generic personal information for a purpose outside of our label scheme. Collection happens by some means outside of our label scheme, and your data is identifiable."
7483,3,103,The site collects your generic personal information for an unspecified purpose. Collection happens by some means outside of our label scheme.
7484,3,103,The site collects your generic personal information for analytics or research. Collection happens by some means outside of our label scheme.
7485,3,103,The site collects your generic personal information for legal requirements. Collection happens in an unspecified way.
14000,3,123,An unnamed third party does not receive something that uniquely identifies you for marketing purposes. The data is personally identifiable.
14002,3,123,A named third party does receive unspecified information about you for a basic service or feature.
14003,3,123,An unnamed third party does receive unspecified information about you for an unspecified purpose.
14004,3,123,An unnamed third party does receive unspecified information about you for marketing purposes.
14005,3,123,An unnamed third party does receive your contact information for marketing purposes.
14006,3,123,A named third party does receive unspecified information about you for legal requirements.
4445,4,96,"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data""."
4446,4,96,A specific security measure not covered above.
4447,4,96,The text describes a specific data practice that is not covered by our label scheme.
7486,4,103,"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data""."
7487,4,103,"You can choose not to use a service or feature to avoid the use of generic personal information by a third party, which collects or receives it for an unspecified purpose."
14007,4,123,"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data""."
14008,4,123,A specific security measure not covered above.
14009,4,123,"You can make no specified choices about the use of unspecified information by a third party, which collects or receives it for an unspecified purpose."
4448,5,96,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
