C780,test_category_labeling_highlight_fordham_aaaaa,121,3844,0,Other,"{""Other Type"": {""selectedText"": ""Bank of America U.S. Online Privacy Notice"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 42, ""value"": ""Introductory/Generic""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
21489,test_category_labeling_highlight_upitt,95,3844,0,Other,"{""Other Type"": {""selectedText"": ""Bank of America U.S. Online Privacy Notice"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 47, ""value"": ""Introductory/Generic""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
C781,test_category_labeling_highlight_fordham_aaaaa,121,3844,1,Other,"{""Other Type"": {""selectedText"": ""Last updated July 24, 2014"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 26, ""value"": ""Other""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
C782,test_category_labeling_highlight_fordham_aaaaa,121,3844,2,Other,"{""Other Type"": {""selectedText"": ""This U.S. Online Privacy Notice (Notice) applies to this Bank of America online interface (i.e., website or mobile application) and any Bank of America U.S. affiliate or subsidiary online interface that links to this Notice, (each, a Site, and, collectively, Sites). The term \""Bank of America\"" or \""we\"" or \""us\"" or \""our\"" in this Notice refers to banking and non-banking U.S. affiliates or subsidiaries of Bank of America Corporation that link to this Notice. This Notice describes how Sites may collect, use and share information from or about you, and explains how information may be collected and used for advertising purposes."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 627, ""value"": ""Introductory/Generic""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
C783,test_category_labeling_highlight_fordham_ddddd,118,3844,3,Other,"{""Other Type"": {""selectedText"": ""Bank of America provides other online interfaces not covered by this Notice. If you visit or access your accounts from one of these sites, please review the online privacy practices of that site to understand how your online information may be collected, used and shared."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 271, ""value"": ""Introductory/Generic""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
24829,test_category_labeling_highlight_fordham_aaaaa,121,3844,3,Other,"{""Other Type"": {""selectedText"": ""Bank of America provides other online interfaces not covered by this Notice. If you visit or access your accounts from one of these sites, please review the online privacy practices of that site to understand how your online information may be collected, used and shared."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 276, ""value"": ""Other""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
21493,test_category_labeling_highlight_upitt,95,3844,4,International and Specific Audiences,"{""Audience Type"": {""selectedText"": ""For U.S. account holders and visitors to this Site, we will use and share any information that we collect from or about you in accordance with the Bank of America U.S. Consumer Privacy Notice, which provides choices in the use and sharing of information. For Non-U.S. account holders utilizing this Site, we will use and share your account information in accordance with the privacy disclosure that covers your account and with the privacy and security rules applicable to the Bank of America affiliate or subsidiary that provides that account to you."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 551, ""value"": ""Other""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
24830,test_category_labeling_highlight_fordham_aaaaa,121,3844,4,International and Specific Audiences,"{""Audience Type"": {""selectedText"": ""For Non-U.S. account holders utilizing this Site, we will use and share your account information in accordance with the privacy disclosure that covers your account and with the privacy and security rules applicable to the Bank of America affiliate or subsidiary that provides that account to you."", ""startIndexInSegment"": 255, ""endIndexInSegment"": 556, ""value"": ""Citizens from other countries""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
24831,test_category_labeling_highlight_fordham_aaaaa,121,3844,4,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""use and sharing"", ""startIndexInSegment"": 223, ""endIndexInSegment"": 238, ""value"": ""Use""}, ""Action First-Party"": {""selectedText"": ""we collect"", ""startIndexInSegment"": 95, ""endIndexInSegment"": 105, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""any information that we collect from or about you"", ""startIndexInSegment"": 74, ""endIndexInSegment"": 123, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": "", which provides choices in the use and sharing of information"", ""startIndexInSegment"": 191, ""endIndexInSegment"": 253, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
24832,test_category_labeling_highlight_fordham_aaaaa,121,3844,4,Third Party Sharing/Collection,"{""Third Party Entity"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""use and sharing"", ""startIndexInSegment"": 223, ""endIndexInSegment"": 238, ""value"": ""Use""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""any information that we collect from or about you"", ""startIndexInSegment"": 74, ""endIndexInSegment"": 123, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""choices in the use and sharing of information"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 253, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""selectedText"": ""share"", ""startIndexInSegment"": 68, ""endIndexInSegment"": 73, ""value"": ""Receive/Shared with""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
23606,test_category_labeling_highlight_fordham_ddddd,118,3844,4,International and Specific Audiences,"{""Audience Type"": {""selectedText"": ""For Non-U.S. account holders utilizing this Site, we will use and share your account information in accordance with the privacy disclosure that covers your account and with the privacy and security rules applicable to the Bank of America affiliate or subsidiary that provides that account to you."", ""startIndexInSegment"": 255, ""endIndexInSegment"": 551, ""value"": ""Citizens from other countries""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
C784,test_category_labeling_highlight_fordham_ddddd,118,3844,5,Other,"{""Other Type"": {""selectedText"": ""Additional information on our Privacy Security practices may be found on our Sites and within Frequently Asked Questions (FAQs). Although the additional information is provided as a resource, the terms and conditions of this Notice control, and by using the Site, you agree to the terms and conditions of this Notice."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 317, ""value"": ""Introductory/Generic""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
24833,test_category_labeling_highlight_fordham_aaaaa,121,3844,5,Other,"{""Other Type"": {""selectedText"": ""Additional information on our Privacy Security practices may be found on our Sites and within Frequently Asked Questions (FAQs). Although the additional information is provided as a resource, the terms and conditions of this Notice control, and by using the Site, you agree to the terms and conditions of this Notice."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 322, ""value"": ""Other""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
21495,test_category_labeling_highlight_upitt,95,3844,6,Other,"{""Other Type"": {""selectedText"": ""Collecting and Using Information Personal Information We Collect Online Personal Information means personally identifiable information such as information you provide via forms, surveys, applications or other online fields including name, postal or email addresses, telephone, fax or mobile numbers, or account numbers."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 377, ""value"": ""Introductory/Generic""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
24834,test_category_labeling_highlight_fordham_aaaaa,121,3844,6,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""information you provide"", ""startIndexInSegment"": 201, ""endIndexInSegment"": 224, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""We Collect Online"", ""startIndexInSegment"": 92, ""endIndexInSegment"": 109, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""Personal Information"", ""startIndexInSegment"": 71, ""endIndexInSegment"": 91, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 157, ""endIndexInSegment"": 192, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
24835,test_category_labeling_highlight_fordham_aaaaa,121,3844,6,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""information you provide"", ""startIndexInSegment"": 201, ""endIndexInSegment"": 224, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""We Collect Online"", ""startIndexInSegment"": 92, ""endIndexInSegment"": 109, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""name, postal or email addresses, telephone, fax or mobile numbers"", ""startIndexInSegment"": 291, ""endIndexInSegment"": 356, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 157, ""endIndexInSegment"": 192, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
24836,test_category_labeling_highlight_fordham_aaaaa,121,3844,6,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""information you provide"", ""startIndexInSegment"": 201, ""endIndexInSegment"": 224, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""We Collect Online"", ""startIndexInSegment"": 92, ""endIndexInSegment"": 109, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""account numbers"", ""startIndexInSegment"": 361, ""endIndexInSegment"": 376, ""value"": ""Financial""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 157, ""endIndexInSegment"": 192, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
23471,test_category_labeling_highlight_fordham_ddddd,118,3844,6,Other,"{""Other Type"": {""selectedText"": ""Personal Information means personally identifiable information such as information you provide via forms, surveys, applications or other online fields including name, postal or email addresses, telephone, fax or mobile numbers, or account numbers."", ""startIndexInSegment"": 130, ""endIndexInSegment"": 382, ""value"": ""Introductory/Generic""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
21496,test_category_labeling_highlight_upitt,95,3844,7,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Personal Information"", ""startIndexInSegment"": 20, ""endIndexInSegment"": 40, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""How We Use Personal Information"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 50, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
24837,test_category_labeling_highlight_fordham_aaaaa,121,3844,7,Other,"{""Other Type"": {""selectedText"": ""How We Use Personal Information We may use Personal Information:"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 98, ""value"": ""Introductory/Generic""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
23472,test_category_labeling_highlight_fordham_ddddd,118,3844,7,Other,"{""Other Type"": {""selectedText"": ""We may use Personal Information:"", ""startIndexInSegment"": 61, ""endIndexInSegment"": 93, ""value"": ""Introductory/Generic""}}",7/24/14,https://www.bankofamerica.com/privacy/online-privacy-notice.go
