The text does not fit into our label scheme.,11,"[(16553, 10, 129), (18106, 3, 132), (18126, 17, 132), (17211, 3, 127), (17176, 4, 127), (17180, 5, 127), (17181, 6, 127), (17188, 10, 127), (17193, 16, 127), (17194, 17, 127), (17196, 19, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,6,"[(16570, 3, 129), (16557, 8, 129), (16539, 16, 129), (16538, 17, 129), (16536, 19, 129), (17213, 8, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(16535, 20, 129), (18129, 20, 132), (17197, 20, 127)]"
Another part of the company or institution does receive your unspecified personal information for an unspecified purpose.,3,"[(16563, 5, 129), (18109, 5, 132), (17179, 5, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",3,"[(16571, 1, 129), (17162, 0, 127), (17163, 1, 127)]"
The policy makes a statement about how data from children is treated.,3,"[(16537, 18, 129), (18127, 18, 132), (17195, 18, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",3,"[(16534, 21, 129), (18130, 21, 132), (17198, 21, 127)]"
An unspecified third party does do something unspecified with unspecified information about you for analytics or research.,2,"[(16554, 9, 129), (17185, 9, 127)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",2,"[(16540, 15, 129), (18124, 15, 132)]"
An unspecified third party does do something unspecified with unspecified information about you for legal requirements.,2,"[(16550, 12, 129), (17190, 12, 127)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens on the website.,2,"[(18105, 2, 132), (18123, 14, 132)]"
"The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized.",2,"[(16564, 4, 129), (17164, 4, 127)]"
The website ignores Do Not Track headers and the user's Do Not Track preference.,2,"[(16541, 15, 129), (17192, 15, 127)]"
A named third party does receive your demographic information for an unspecified purpose. The data is aggregated or anonymized.,2,"[(16549, 13, 129), (17191, 13, 127)]"
An unnamed third party does receive your unspecified personal information for a basic service or feature.,2,"[(16558, 7, 129), (17184, 7, 127)]"
You can choose not to use a service or feature to avoid the use of unspecified information by an unspecified party for an unspecified purpose.,1,"[(16572, 0, 129)]"
